id,name,address,latitude,longitude,source,qualifies,store_type,adequacy_tier,price_concern,quality_concern,nems_availability,nems_price,nems_quality,nems_total,nems_survey_year,nems_status,dfm_community_score,snap,wic,green_grocer,ggp18,ggp21,sq_ft_thousands,notes,reviewer_notes,last_verified
dfm-FRF027392,GREENFIELD SUPERMARKET,"15530 PURITAN, DETROIT, MI, 48227",42.409356,-83.199874,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,yes,yes,13.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF051444,IMPERIAL FRESH - SCHAEFER,"14424 SCHAEFER, DETROIT, MI, 48227",42.394314,-83.177547,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,3.0,yes,yes,yes,yes,yes,19.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 3.0. AKA: BANNER SUPERMARKET.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF050883,IMPERIAL SUPERMARKET,"1940 E 8 MILE, DETROIT, MI, 48234",42.446086,-83.081706,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,3.0,yes,yes,yes,yes,yes,102.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 3.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF108314,LAFAYETTE FOODS,"1565 E LAFAYETTE, DETROIT, MI, 48207",42.339029,-83.032084,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,4.0,yes,yes,yes,yes,yes,14.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 4.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF092913,MIKES FRESH MARKET,"14383 GRATIOT, DETROIT, MI, 48205",42.436639,-82.978853,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,unknown,yes,yes,43.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF114695,PARKWAY FOODS,"11250 E JEFFERSON AVE, DETROIT, MI, 48214",42.365173,-82.97094,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,3.0,yes,yes,yes,yes,yes,64.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 3.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF211200,ROYAL FRESH MARKET HARPER,"16700 HARPER, DETROIT, MI, 48224",42.414002,-82.939843,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,3.0,yes,yes,yes,yes,unknown,19.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 3.0. AKA: Del Pointe. Bought by owners of Royal Fresh Market on Grand River,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF079500,UNIVERSITY FOOD CENTER,"1131 W WARREN AVE, DETROIT, MI, 48201",42.352739,-83.074514,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,4.0,yes,yes,yes,yes,yes,26.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 4.0. AKA: University Foods.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF028750,FAIRLINE FOOD CENTER,"16520 W WARREN, DETROIT, MI, 48228",42.343789,-83.207557,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,14.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF088848,FAMILY FAIR FOOD CENTER,"700 CHENE, DETROIT, MI, 48207",42.340476,-83.024069,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,21.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
