LICENSE,Name,DFM Type,Address,City,Zipcode,Latitude,Longitude
FRF027392,GREENFIELD SUPERMARKET,Grocery,15530 PURITAN,DETROIT,48227,42.4093564,-83.1998744
F​R​F​0​5​1​4​4​4,IMPERIAL FRESH - SCHAEFER,Grocery,14424 SCHAEFER,DETROIT,48227,42.3943135,-83.1775473
FRF050883,IMPERIAL SUPERMARKET,Grocery,1940 E 8 MILE ,DETROIT,48234,42.4460865,-83.0817059
FRF108314,LAFAYETTE FOODS,Grocery,1565 E LAFAYETTE,DETROIT,48207,42.3390294,-83.0320844
FRF092913,MIKES FRESH MARKET,Grocery,14383 GRATIOT,DETROIT,48205,42.4366392,-82.9788532
FRF114695,PARKWAY FOODS,Grocery,11250 E JEFFERSON AVE,DETROIT,48214,42.3651735,-82.9709399
F​R​F211200,ROYAL FRESH MARKET HARPER,Grocery,16700 HARPER,DETROIT,48224,42.4140023,-82.9398429
F​R​F​0​7​9​5​0​0,UNIVERSITY FOOD CENTER,Grocery,1131 W WARREN AVE,DETROIT,48201,42.3527387,-83.0745141
F​R​F​0​2​8​7​5​0,FAIRLINE FOOD CENTER,Grocery,16520 W WARREN,DETROIT,48228,42.3437894,-83.2075573
FRF088848,FAMILY FAIR FOOD CENTER,Grocery,700 CHENE,DETROIT,48207,42.3404761,-83.0240691
FRF091798,FARMER JOHN FOOD CENTER,Grocery,9731 HARPER,DETROIT,48213,42.393513,-83.0065724
FRF110107,FOOD FARM SUPER MARKET,Grocery,11550 DEXTER,DETROIT,48206,42.3784826,-83.1232678
FRF011105,FOOD GIANT SUPERMARKET,Grocery,14040 GREENFIELD,DETROIT,48227,42.3891068,-83.1971936
FRF088264,FOOD PRIDE SUPERMARKET,Grocery,500 E WARREN,DETROIT,48201,42.3586838,-83.0579497
FRF094808,GARDEN FRESH MARKETPLACE,Grocery,6680 MICHIGAN AVE,DETROIT,48210,42.3314585,-83.1261714
F​R​F​0​9​3​3​7​5,GLORY SUPERMARKET,Grocery,8000 W OUTER DR,DETROIT,48235,42.420362,-83.2177847
FRF112007,HARBORTOWN FRESH MARKET LLC,Grocery,3472 E JEFFERSON AVE,DETROIT,48207,42.3425294,-83.0108204
FRF085623,INDIAN VILLAGE MARKET LLC,Grocery,8415 E JEFFERSON AVE,DETROIT,48214,42.3544766,-82.9912333
FRF117540,LANCES HOMETOWN MARKET,Grocery,8656 WYOMING,DETROIT,48204,42.3586832,-83.1571111
FRF055965,OLD REDFORD FOOD CENTER,Grocery,21673 GRAND RIVER,DETROIT,48219,42.4157477,-83.256815
FRF011480,SATURN SUPER FOODS,Grocery,20221 JOY RD,DETROIT,48228,42.3571677,-83.2389195
FRF100252,SAVE-A-LOT,Grocery,3681 GRATIOT AVE,DETROIT,48207,42.363738,-83.0256637
FRF024521,SAVON FOODS,Grocery,15025 W 7 MILE RD,DETROIT,48235,42.4303474,-83.1942129
F​R​F​0​8​6​7​7​6,SAVON FOODS SUPERSTORE,Grocery,18000 LIVERNOIS AVE,DETROIT,48221,42.4230065,-83.1407026
FRF092094,SEAWAY MARKETPLACE,Grocery,18330 W Chicago St,DETROIT,48228,42.3656935,-83.2196316
F​R​F0​8​8​4​9​2,APOLLO MARKET,Grocery,20250 W 7 MILE RD,DETROIT,48219,42.4304554,-83.2406858
FRF112632,KING COLE FOODS,Grocery,40 CLAIRMOUNT ST,DETROIT,48202,42.3828602,-83.082519
FRF099583,MIKES FRESH MARKET,Grocery,19195 LIVERNOIS,DETROIT,48221,42.433045,-83.1426415
FRF085898,PUBLIC FOOD INC,Grocery,16226 E WARREN,DETROIT,48224,42.4018785,-82.9402438
FRF085100,ALDI,Grocery,15415 GRATIOT AVE,DETROIT,48205,42.4487974,-82.9704007
FRF093458,ALDI ,Grocery,14708 MACK AVE,DETROIT,48215,42.3861785,-82.9487329
FRF024031,AMERICANA FOOD STORE INC,Grocery,15041 PLYMOUTH,DETROIT,48227,42.3724199,-83.1926896
F​R​F0​1​1​5​5​1,ATLAS MARKET,Grocery,2645 W DAVISON,DETROIT,48238,42.3920966,-83.1229932
F​R​F​1​0​1​2​8​2,AZTECA SUPERMERCADO,Grocery,2411 CENTRAL,DETROIT,48209,42.3136102,-83.125498
FRF118703,BI-RITE SUPERMARKET,Grocery,13230 LIVERNOIS AVE,DETROIT,48238,42.3855675,-83.1391392
FRF011476,E & L SUPERMERCADO,Grocery,6000 W VERNOR HWY,DETROIT,48209,42.3168714,-83.1064939
FRF094473,FAMILY FOODS SUPER STORE LLC,Grocery,8665 ROSA PARKS BLVD,DETROIT,48206,42.3720798,-83.0980985
FRF113274,GIGANTE PRINCE VALLEY INC,Grocery,5931 MICHIGAN AVE,DETROIT,48210,42.3309006,-83.1156708
FRF091492,GLORY FOODS,Grocery,12230 E 8 MILE RD,DETROIT,48205,42.4477403,-83.0010212
FRF111479,GRACE FOOD MARKET,Grocery,12055 MORANG,DETROIT,48224,42.4266536,-82.9519776
FRF087006,GRAND PRICE FOOD CENTER,Grocery,12955 GRAND RIVER,DETROIT,48227,42.3815836,-83.1716258
FRF011829,HONEY BEE MARKET LA COLMENA LTD,Grocery,2443 BAGLEY AVE,DETROIT,48216,42.3254282,-83.0765317
FRF011221,IMPERIAL FRESH - KROWN,Grocery,5800 CANIFF,DETROIT,48212,42.405247,-83.0430039
FRF089734,LA FIESTA SUPERMARKET CARNICERIA,Grocery,7403 W VERNOR HWY,DETROIT,48209,42.3133799,-83.1219098
FRF049572,LIBERTY FOOD CENTER INC,Grocery,10620 W MCNICHOLS,DETROIT,48221,42.4171469,-83.1677747
FRE067646,MAZEN FOODS,Grocery,12740 GRATIOT,DETROIT,48205,42.4196328,-82.9873346
FRE117482,MEIJER,Grocery,21431 Grand River,DETROIT,48219,42.412043,-83.2528215
FRE113229,MEIJER,Grocery,1301 W 8 MI RD,DETROIT,48203,42.4442852,-83.1192238
FRE210834,MEIJER RIVERTOWN MARKET,Grocery,1475 E. Jefferson,Detroit,48207,,
FRF087700,NEW MERCHANT FOOD CENTER,Grocery,2819 E 7 MILE RD,DETROIT,48234,42.4332356,-83.0751756
FRF085591,NEW PICK & SAVE MARKET,Grocery,7404 7 MILE RD,DETROIT,48234,42.4336795,-83.031992
FRF087766,PAPAYA FRUIT MARKET,Grocery,16322 W Warren,DETROIT,48228,42.3438142,-83.2053286
FRF115910,ROYAL FRESH MARKET,Grocery,18551 W GRAND RIVER,DETROIT,48223,42.4025645,-83.224213
FRF112025,SAV-MART SUPERMARKET,Grocery,7011 GRATIOT AVE,DETROIT,48207,42.3727076,-83.0198368
FRF116819,SAVE A LOT,Grocery,15001 HOUSTON-WHITTIER,DETROIT,48205,42.4210418,-82.9670787
FRF083453,SAVE A LOT,Grocery,5181 GRAND RIVER,DETROIT,48208,42.3491299,-83.0925298
F​R​F​1​1​0​3​4​9,SAVE A LOT,Grocery,4703 CONNER ST,DETROIT,48215,42.3874098,-82.9712057
F​R​F​0​7​3​8​9​2,SEVEN MILE FOODS,Grocery,8139 E SEVEN MILE ,DETROIT,48234,42.4343574,-83.0214967
F​R​F​0​5​4​9​8​5,SEVEN STAR FOOD CENTER INC,Grocery,11500 E MCNICHOLS,DETROIT,48205,42.4196579,-83.0052908
FRF074457,SUPERLAND MARKET,Grocery,17021 SCHOOLCRAFT,DETROIT,48227,42.38645,-83.2142159
FRF095120,U.S. QUALITY FOOD CENTER,Grocery,15690 Joy Rd,DETROIT,48228,42.3592055,-83.1990839
FRF085741,VALUE SAVE FOOD CENTER,Grocery,14470 LIVERNOIS,DETROIT,48238,42.3952347,-83.1397359
FRF092405,VERNOR FOOD CENTER,Grocery,8801 W VERNOR,DETROIT,48209,42.3086232,-83.1334968
FRE112387,WHOLE FOODS MARKET,Grocery,115 MACK AVE,DETROIT,48201,42.3485364,-83.0565724
