LICENSE,ID_MDARD,Name,ID_2008,STATUS_2008,ID_2013,STATUS_2013,ID_2015,STATUS_2015,ID_2017,STATUS_2017,ID_2019,STATUS_2019,STATUS_2021,STATUS_2022,STATUS_2023,Current Status,Cluster,Set,Type,Store,Zip2,Community Score,NMTC,WIC,SNAP,FFN Training,DUFB13,DUFB19,DUFB20,Greenlight,Green Grocer,GGP18,GGP21,District,DFM Type,Address,City,Zipcode,Phone,Manager,Phone 2020,Total_2013,Total_2015,Total_2017,FULL,Latitude,Longitude,AKA,Built,Sq Ft by 1000,GREAT SCOTT,KROGER,FARMER JACK,NOTES,WEBSITE
FRF027392,6169,GREENFIELD SUPERMARKET,,,09-1-01-009,OPEN,141067,OPEN,2709,OPEN,,,,,,OPEN,9,1,1,09,27,1,,1,1,,,,,,,1,1,2,Grocery,15530 PURITAN,DETROIT,48227,(313) 837-1177,,,,,,15530 PURITAN DETROIT 48227,42.4093564,-83.1998744,,,13,,,,,
F​R​F​0​5​1​4​4​4,,IMPERIAL FRESH - SCHAEFER,,,09-1-01-019,OPEN,131507,OPEN,2719,OPEN,,,,,,OPEN,9,1,1,19,27,3,1,1,1,,,1,,,1,1,1,7,Grocery,14424 SCHAEFER,DETROIT,48227,313-934-0325,,,,,,14424 SCHAEFER DETROIT 48227,42.3943135,-83.1775473,BANNER SUPERMARKET,,19,,,,,
FRF050883,6472,IMPERIAL SUPERMARKET,,,01-1-01-047,OPEN,131507,OPEN,3447,OPEN,,,,,,OPEN,1,1,1,47,34,3,,1,1,,,1,,,1,1,1,3,Grocery,1940 E 8 MILE,DETROIT,48234,313-368-6600,,,,,,1940 E 8 MILE DETROIT 48234,42.4460865,-83.0817059,,,102,,Yes,,,
FRF108314,72029,LAFAYETTE FOODS,,,03-1-01-073,OPEN,161862,OPEN,0773,OPEN,,,,,,OPEN,3,1,1,73,07,4,,1,1,,,1,,1,1,1,1,5,Grocery,1565 E LAFAYETTE,DETROIT,48207,(313) 396-5600,,,,,,1565 E LAFAYETTE DETROIT 48207,42.3390294,-83.0320844,,,14,,,,,
FRF092913,44053,MIKES FRESH MARKET,,,02-1-01-045,OPEN,168661,OPEN,0545,OPEN,,,,,,OPEN,2,1,1,45,05,2,,1,1,,1,,,1,,1,1,3,Grocery,14383 GRATIOT,DETROIT,48205,(313) 526-8393,,,,,,14383 GRATIOT DETROIT 48205,42.4366392,-82.9788532,,,43,,Yes,,,
FRF114695,85209,PARKWAY FOODS,,,03-1-01-034,OPEN,203157,OPEN,1434,OPEN,,,,,,OPEN,3,1,1,34,14,3,,1,1,,,,,1,1,1,1,4,Grocery,11250 E JEFFERSON AVE,DETROIT,48214,(313) 823-2444,,,,,,11250 E JEFFERSON AVE DETROIT 48214,42.3651735,-82.9709399,,,64,,,Yes,,
F​R​F211200,,ROYAL FRESH MARKET HARPER,,,03-1-01-035,OPEN,167671,OPEN,2435,OPEN,,,,OPEN,,OPEN,3,1,1,35,24,3,,1,1,,,1,,,1,1,,4,Grocery,16700 HARPER,DETROIT,48224,(313) 886-7700,,,,,,16700 HARPER DETROIT 48224,42.4140023,-82.9398429,Del Pointe,,19,,,,Bought by owners of Royal Fresh Market on Grand River,
F​R​F​0​7​9​5​0​0,,UNIVERSITY FOOD CENTER,,,04-1-01-001,OPEN,115542,OPEN,0101,OPEN,,,,,,OPEN,4,1,1,01,01,4,,1,1,,,1,,1,1,1,1,6,Grocery,1131 W WARREN AVE,DETROIT,48201,(313) 833-0815,,,,,,1131 W WARREN AVE DETROIT 48201,42.3527387,-83.0745141,University Foods,,26,,,,,
F​R​F​0​2​8​7​5​0,,FAIRLINE FOOD CENTER,,,07-1-01-063,OPEN,160994,OPEN,2863,OPEN,,,,,,OPEN,7,1,1,63,28,1,,1,1,,,,,,1,,1,7,Grocery,16520 W WARREN,DETROIT,48228,(313) 584-9630,,,,,,16520 W WARREN DETROIT 48228,42.3437894,-83.2075573,,,14,,,,,
FRF088848,33102,FAMILY FAIR FOOD CENTER,,,04-1-01-033,OPEN,148591,OPEN,07330,OPEN,,,,,,OPEN,4,1,1,33,07,1,,1,1,,,,,,1,,1,5,Grocery,700 CHENE,DETROIT,48207,(313) 584-9631,,,,,,700 CHENE DETROIT 48207,42.3404761,-83.0240691,,,21,,,Yes,,
FRF091798,42633,FARMER JOHN FOOD CENTER,FRF091798,OPEN,03-1-01-026,OPEN,201158,OPEN,1326,OPEN,,,,,,OPEN,3,1,1,26,13,1,,1,1,,,,,,1,,1,3,Grocery,9731 HARPER,DETROIT,48213,(313) 584-9633,,,,,,9731 HARPER DETROIT 48213,42.393513,-83.0065724,,,16,,,,,
FRF110107,76969,FOOD FARM SUPER MARKET,,,06-1-01-023,OPEN,200999,OPEN,0623,OPEN,,,,,,OPEN,6,1,1,23,06,2,,1,1,,,1,,,1,,1,5,Grocery,11550 DEXTER,DETROIT,48206,(313) 733-8633,,,,,,11550 DEXTER DETROIT 48206,42.3784826,-83.1232678,,,24,,,,,
FRF011105,6150,FOOD GIANT SUPERMARKET,,,09-1-01-018,OPEN,141062,OPEN,2718,OPEN,,,,,,OPEN,9,1,1,18,27,0,,1,1,,,,,,,,1,1,Grocery,14040 GREENFIELD,DETROIT,48227,(313) 270-2800,,,,,,14040 GREENFIELD DETROIT 48227,42.3891068,-83.1971936,,,25,,,,,
